Zip_Code,Average Household Taxable Income
99207,35023 
99208,68650 
99212,56478 
99216,49509 
99217,55892 
99218,65206 
99223,90754 
99224,79898 
99301,55745 
99320,60705 
99321,31693 
99322,53408 
99323,63199 
99324,52235 
99326,48918 
99328,56282 
99329,52092 
99330,50276 
99336,48909 
99337,67010 
99338,100932 
99341,47972 
99343,50792 
99344,47886 
99347,53096 
99348,52033 
99349,41933 
99350,59960 
99352,94762 
99353,85979 
99354,71106 
99356,44655 
99357,43123 
99360,65703 
99361,60370 
99362,65951 
99371,46125 
99401,50193 
99402,86605 
99403,58437 
